no,tender_no,Decision Reference,description,vendor,award_date,value,department,group
26,202Q/2013/14 ,SCMB 53/07/14,"ALTERATIONS AND ADDITIONS TO TAFELSIG CLINIC, MITCHELLS PLAIN",Icapa Builders CC,2014/07/28,4210502.25,City Health,Health
6,SCMB 15/07/14,SCMB 15/07/14,REQUEST FOR INCREASE IN CONTRACT SUM AND/OR PERIOD: KHAYELITSHA WETLANDS PARK UPGRADE : PROFESSIONAL SERVICES FOR ENVIRONMENTAL ASSESSMENT PRACTITIONER,Jeffares and Green Consultants,2014/07/07,61720,Community Services,Community Services
80,148S/2010/11,SCMB/89/09/14,Maintenance of public toilets on public open spaces and cemeteries,"Ullulwandle Cleaning and Construction cc, Mkhomazi Investments cc, Lucrative Cleaning and Maintenance cc",2014/09/29,87205,Community Services - Parks,Community Services
123,012G/2014/15,SCMB 07/11/14,Supply and deliver of organic and in-organic fertilizers,"Gramoney Sports Turf  and Landscaping CC, Brainwave Projects 1789 CC, Powerrec (Pty) Ltd
",2014/11/03,5000000,Community Services - Parks,Community Services
127,241S/2013/14,SCMB 12/11/14,"Tree Maintenance on Public Open Spaces, Road Reserves and Cemeteries - Eastern Districts, City Parks","Blou Terreindienste BK, and Need Compost CC t/a Garden & Organics",2014/11/03,8000000,Community Services - Parks,Community Services
219,SCMB 67/12/14,SCMB 67/12/14,"Construction of Spray Parks in Scottsville, Khayelitsha, Nyanga and Ocean View",Ankia Bormans Landscape Architect,2014/12/08,33627.31,"Community Services - Sport , Recreation and Amenities",Community Services
221,SCMB 68/12/14,SCMB 68/12/14,"Construction of Spray Parks in Scottsville, Khayelitsha, Nyanga and Ocean View",Ankia Bormans Landscape Architect,2014/12/08,71490.45,"Community Services - Sport , Recreation and Amenities",Community Services
218,165Q/2012/13,SCMB 67/12/14,"Construction of Spray Parks in Scottsville, Khayelitsha, Nyanga and Ocean View",Err:520,2014/12/08,791230.79,"Community Services - Sport , Recreation and Amenities",Community Services
52,050Q/2012/13,SCMB/38/09/14,"Alterations & Additions to Solomon Mahlangu Hall, Khayelitsha",Izinyoni Trading 54 CC,2014/09/15,1060057.34,"Community Services - Sport , Recreation and Amenities",Community Services
87,310Q/2013/14,SCMB/10/10/14,Construction of new change room facilities to Gugulethu Sportsfield,CSD Development and Transport Enterprises CC,2014/10/06,1114969.9,"Community Services - Sport , Recreation and Amenities",Community Services
8,306G/2013/14,SCMB 27/08/14,"Supply, Delivery and Installation of Athletics Equipment, Greenpoint Athletics Stadium and Sport & Recreation Facilities",Gimtrac (Pty) Ltd,2014/08/11,1200000,"Community Services - Sport , Recreation and Amenities",Community Services
220,165Q/2012/13,SCMB 68/12/14,"Construction of Spray Parks in Scottsville, Khayelitsha, Nyanga and Ocean View",Amandla GCF Construction CC,2014/12/08,1682128.27,"Community Services - Sport , Recreation and Amenities",Community Services
11,327S/2013/14,SCMB 30/08/14,"Weeds, Insects and Fungi Control on Vegetation","Henning & Henning BK t/a Henchem 
JH Louw t/a Swartland ",2014/08/11,20000000,"Community Services - Sport , Recreation and Amenities",Community Services
150,234Q/2013/14,SCMB 49/11/14,Term tender for the provision and maintenance of electrical infrastructure for Community Services Facilities within the City of Cape Town,Bloemhof Electrical CC for North Region; Mr Price t/a Lite-Line Electrical for East Region; Citrine Construction (Pty) Ltd for Central Region; JT Maritz Electrical CC for South Region ,2014/11/17,47200000,"Community Services - Sport , Recreation and Amenities",Community Services
13,SCMB 35/08/14,SCMB 35/08/14,Request for deviation and/or Condonation: Media Capacitation and support,HWB Communication (Pty) Ltd,2014/08/11,400000,Compliance and Auxiliary Services - Compliance and Auxiliary Services,Compliance and Auxiliary Services
208,344C/2011/12,SCMB 55/12/14,"PROVISION OF FREELANCE LANGUAGE SERVICES (INTERPRETING, TRANSLATION & COPY EDITING)","Zitha Magingxa, 
Brenda Barrow,
DG Buchanan,
Diane  Avis De Kork,
Sibalomkholwane Services (Pty) Ltd,
Zolera Cynteria Ngcozana,
DJC Janse Van Vuuren,
Tolika Translate CC,
W Thala,
Lungelwa Rose Mfazwe Majapelo,
SE de Bruin,
IsiXhosa Sethu Translators and Editors,
Bohle Conference and Language Services,
Brainware Project 2298 CC t/a ST Communications,
Mob Media CC,
L Sullivan,
Arina Wilson,
John Ntshibilikwana,
JN Mayekiso Madikiza,
SJ Van Wyk,
Hendrien Rust-Swanepoel,
Daleen Groenewald,
D S Gxilishe,
Barefoot Teacher,
Ute Margarete Lise Houlsby,
 ",2014/12/08,1227912.88,Compliance and Auxiliary Services - Executive Support,Compliance and Auxiliary Services
136,281C/2013/14,SCMB 21/11/14,"Provision of Service Provider to Provide an Electronic Function for Tracing, Adverse Credit Listing and Other Related Services for the City of Cape Town",Transunion Credit Bureau (Pty) Ltd,2014/11/03,157984.74,Compliance and Auxiliary Services - Forensics,Compliance and Auxiliary Services
102,237S/2013/14,SCMB 40/10/14,Cleaning Services: Municipal Courts,"Zara Cleaning Services CC, Greystone Trading 389 CC t/a Pronto Kleen Cleaning Services and City Security Services and Vuya Management Services CC",2014/10/20,1200000,Compliance and Auxiliary Services - Legal Services,Compliance and Auxiliary Services
34,344C/2011/12,SCMB 63/07/14,REQUEST FOR DEVIATION AND/OR CONDONATION : PROVISION OF FREELANCE LANGUAGE SERVICES,"Wthala, John Ntshibilikwana, litha Magingxa, D S Gxilishe, J N Mayekiso Madikiza,  Brainwave Projects 2298 CC t/a ST Communications, Cvnteria lolera Nacozana, Brenda Barrow, ",2014/07/28,1227912.68,Compliance and Auxiliary Support,Compliance and Auxiliary Services
12,139S/2013/14 ,SCMB 27/07/14,REQUEST FOR DEVIATION AND/OR CONDONATION: GENERAL CLEANING AND GARDENING MAINTENANCE OF CORPORATE BUILDINGS IN THE SOUTH AREA OF THE CITY OF CAPE TOWN,G. Naidoo Cleaning Contractors (Western Cape) CC t/a Spick n Span Cleaning  ,2014/07/14,78891.88,Corporate Services,Corporate Services
1,278C/2013/14,SCMB 06/07/14,PROVISION OF A SERVICE TO CONDUCT AN EMPLOYEE ENGAGEMENT SURVEY OF EMPLOYEES IN THE CITY OF CAPE TOWN,Echelon Purple /TNS Research Surveys (Pty) Ltd Consortium,2014/07/07,2799900,Corporate Services,Corporate Services
3,253Q/2013/14,SCMB 11/07/14, SUPPLY AND INSTALL A NEW FIRE SUPPRESSANT SYSTEM WITHIN CAPE TOWN CIVIC CENTRE,Atlas Fire Security (Pty) Ltd,2014/07/07,5955061.25,Corporate Services,Corporate Services
21,SCMB 41/07/14,SCMB 41/07/14,REQUEST FOR DEVIATION AND/OR CONDONATION: APPOINTMENT OF SOLE SERVICE PROVIDER FOR ESRI ARCGIS TRAINING FOR THE PERIOD AUGUST 2014 TO JUNE 2015 IN TERMS OF THE ENTERPRISE LICENCE AGREEMENT (ELA) BETWEEN THE CITY OF CAPE TOWN AND ESRI SOUTH AFRICA WHICH HAS BEEN APPROVED FOR THE FINANCIAL YEARS 2014/15 TO 2016/17,Environmental Systems Research Institute South Africa (Pty) Ltd t/a ESRI South Africa,2014/07/21,16871384.78,Corporate Services,Corporate Services
207,SCMB 54/12/14,SCMB 54/12/14,Appointment of a service provider to provide accredted training for learners on a lifeguarding skills development programme aligned to unit standards and the certificate: Lifeguarding,Cape Peninsula University of Technology,2014/12/08,1500000,Corporate Services - Corporate Services Management,Corporate Services
166,152C/2013/14,SCMB 07/12/14,Appointment of Service Providers to Provide Human Resources With Professional Support in Recruitment Advertising Processes for the City of Cape Town,Ayanda Mbanga Communications (Pty) Ltd (main service provider) Human Communications (Pty) Ltd (alternative service provider),2014/12/01,15000000,Corporate Services - Corporate Services Management,Corporate Services
194,334C/2010/11,SCMB 41/12/14,Appointment of service provider human resource with professional support in the recruitment advertising processes for the COCT,Human Communications (Pty) Ltd (Preferred provider) Ayanda Mbanga Communications (alternative provider),2014/12/08,1500000,Corporate Services - HR,Corporate Services
201,152C/2013/14,SCMB 47/12/14,Appointment of Service Providers to Provide Human Resources With Professional Support in Recruitment Advertising Processes for the City of Cape Town,Ayanda Mbanga Communications (Pty) Ltd and Human Commucnications (Pty) Ltd,2014/12/08,1500000,Corporate Services - HR,Corporate Services
99,304C/2012/13,SCMB 30/10/14,Request for Deviation: Appointment of Service Providers to Provide Human Resources with Professional support in the recruitment and selection and talent management processes of the City of Cape Town,Managed Integrity Evaluation (Pty) Ltd t/a MIE for Personal Credential Verifications,2014/10/13,2000000,Corporate Services - HR,Corporate Services
71,005C/2014/15,SCMB/78/09/14,Facilitation of Management Accountability Programme Training in Core Corporate Business Processes,PriceWaterHouse Coopers Incorporated,2014/09/29,4200000,Corporate Services - HR,Corporate Services
86,322G/2013/14,SCMB/09/10/14,"Supply, Installation and maintenance of electronic clocking systems/devices",EOH Security and Building Technologies (Pty) Ltd,2014/10/06,1315789.47,Corporate Services - Informations Systems and Technology,Corporate Services
40,SCMB 10/09/14,SCMB 10/09/14,Request For Single Source Selection: Appointment Of Sap South Africa To Complete A High Level Solution Design For The Transport For Cape Town`S Integrated Information Management System (Iims),SAP South Africa (Pty) Ltd ,2014/09/01,2795850,Corporate Services - Informations Systems and Technology,Corporate Services
191,024S/2011/12,SCMB 38/12/14,"Provision Environmental Upgrade and Maintenance of Data Centres,Server Rooms and Remote Sites","EOH Mthombo (Pty) Ltd
Dimension Data (Pty) Ltd",2014/12/08,4200400,Corporate Services - Informations Systems and Technology,Corporate Services
39,SCMB 09/09/14,SCMB 09/09/14,Request For Single Source Selection: Appointment Of Esri South Africa (Pty) Ltd For The Development Of Spatial Components Of Project Isis And To Provide Future Support,ESRI South Africa (Pty) Ltd,2014/09/01,15000000,Corporate Services - Informations Systems and Technology,Corporate Services
104,328S/2013/14,SCMB 42/10/14,Upgrade of radio trunking master switching office,Altech Radio Holdings (Pty) Ltd,2014/10/20,17125764.21,Corporate Services - Informations Systems and Technology,Corporate Services
94,238S/2013/14,SCMB 25/10/14,Provision of Internet Services to the City of Cape Town,"Mobile Telephone Networks (Pty) Ltd 
Neotel (Pty) Ltd 
Vox Telecommunications (Pty) Ltd 
Internet Solutions - a division of Dimension Data (Pty) Ltd ",2014/10/13,26315789.47,Corporate Services - Informations Systems and Technology,Corporate Services
121,111Q/2012/13,SCMB 68/10/14,Term Tender for the Construction of New Switching Centres for the City of Cape Town’s Optic Fibre Network,EOH Intelligent Infrastructure (Pty) Ltd,2014/10/27,70000000,Corporate Services - Informations Systems and Technology,Corporate Services
111,338G/2013/14,SCMB 60/10/14,Supply and delivery of analogue two way radios and repeater equipment,Lazer Communications CC,2014/10/27,2000000,Corporate Services - Specialised Technical Services,Corporate Services
100,006Q/2013/14,SCMB 31/10/14,"Term Tender for Installation, Refurbishment and Maintenance of Partitioning and Ceilings to Facilities Management within City of Cape Town Corporate buildings","Ismail Davids and Associates for areas: CHQ, CBD and South
Beap Construction for areas: Central, East and North",2014/10/13,10000000,Corporate Services - Specialised Technical Services,Corporate Services
206,124S/2010/11,SCMB 53/12/14,Cleaning of all Corporate Facilities Management Building within the City of Cape Town,"Selton Cleaning, Siyakha Skills, Inyameko Trading 675 CC, Golden Rewards, Personnel Contractors, G Naidoo, Siqalo Gardening, Good looks, Mega Ndira, Barty's Maintenance, Vuya Management, Greystone Trading 389 CC, Zara Cleaning, Tamasa Trading 94 CC, Shine the Way 103 CC",2014/12/08,17686305,Corporate Services - Specialised Technical Services,Corporate Services
3,240Q/2013/14,SCMB 12/08/14,"Supply, Retrofit and Installation of Energy Efficient Luminaires at the Cape Town Civic Centre ",Namasthethu Electrical (Pty) Ltd t/a Nationwide Electrical,2014/08/04,29263401.72,Corporate Services - Specialised Technical Services,Corporate Services
74,009G/2014/15,SCMB/81/09/14,Supply and Delivery of Robotic Total Station,Optron (Pty) Ltd,2014/09/29,314420,Corporate Services - Strategic Development Information & GIS,Corporate Services
58,SCMB/50/09/14,SCMB/50/09/14,CEB SHL Talent Assesment System and Credits,SHL Saville and Holdsworth (Pty) Ltd,2014/09/15,910102,Corporate Services - Support Services - CS,Corporate Services
30, 124S/2013/14,SCMB 58/07/14,LOCKSMITH SERVICES WITHIN THE BOUNDARIES OF CITY OF CAPE TOWN,Hankey Building and Civil Projects CC,2014/07/28,1000000,Corporate Services,Corporate Services
31,285S/2013/14,SCMB 59/07/14,RENEWAL OF ENTERPRISE VAULT AND RELATED LICENCE AND SERVICES,Deon Ferrier & Associates (Pty) Ltd t/a DFA Solutions,2014/07/28,7017543.86,Corporate Services,Corporate Services
65,SCMB/65/09/14,SCMB/65/09/14,"Provision of Professional Services: Design Documentation and Supervision of Infrastructure upgrade and Landscaping on Southern Shore of Zeekoevlei, False Bay Nature Reserve - R031300487",Earthworks Landscape Architects,2014/09/22,15000,"Econ, Enviro and Spatial Planning - Econimic Development","Eco, Env & Spatial Planning"
130,316C/2011/12,SCMB 15/11/14,Provision of a Service Provider to carry out Baboon Monitoring on the Cape Peninsula,High Tide Films CC t/a Natural Solutions,2014/11/03,800000,"Econ, Enviro and Spatial Planning - Environmental Resource Management","Eco, Env & Spatial Planning"
210,065C/2013/14,SCMB 59/12/14,Provision of a Service Provider for Detailed Audits and Energy Efficiency Interventions at Council Building Complexes,Igoda Projects (Pty) Ltd,2014/12/08,3261629.88,"Econ, Enviro and Spatial Planning - Environmental Resource Management","Eco, Env & Spatial Planning"
42,450S/2010/11,SCMB/12/09/14,Request For Deviation And/Or Condonation: Controlling Of Invasive Plant Species,NCC Lombo t/a Akhanini for Area South; N Ngame t/a Phumelela for Area Central and J Samuels t/a JS Alien Destroyers ,2014/09/01,15000000,"Econ, Enviro and Spatial Planning - Environmental Resource Management","Eco, Env & Spatial Planning"
230,SCMB 80/12/14,SCMB 80/12/14,Supply and Installation of Line Capacitors for the Variable Frequency Drives (vfd's) Installed at the Voelvlei Water Treatment Plant's (WTP) Low Lift Pump Station (LLPS),MJS Electronics (Pty) Ltd t/a                  M & M Electronics ,2014/12/19,325014,"Econ, Enviro and Spatial Planning-Spatial Planningand Urban Design","Eco, Env & Spatial Planning"
15,242C/2013/14,SCMB 34/07/14,PROVISION OF PROFESSIONAL SERVICES FOR THE UPGRADE OF PAVILION PRECINCT : STRAND PHASE 2,Bergstan South Africa Consulting and Development Engineers (Pty) Ltd,2014/07/21,829554,"Economic, Environment & Spatial Planning","Eco, Env & Spatial Planning"
19,316C/2011/12,SCMB 38/07/14,REQUEST FOR INCREASE IN CONTRACT SUM AND/OR PERIOD: PROVISION OF A SERVICE PROVIDER TO CARRY OUT BABOON MANAGEMENT ON THE CAPE PENINSULA,Human Wildlife Solutions CC previously known as High Tide Films CC T/A Natural Solutions),2014/07/21,2400000,"Economic, Environment & Spatial Planning","Eco, Env & Spatial Planning"
17,270S/2013/14,SCMB 36/07/14,PROVISION OF A SERVICE PROVIDER TO CARRY OUT BABOON MANAGEMENT ON THE CAPE PENINSULA,Human Wildlife Solutions CC,2014/07/21,26000000,"Economic, Environment & Spatial Planning","Eco, Env & Spatial Planning"
23,SCMB 49/07/14,SCMB 49/07/14,REQUEST TO CONTRACT WITH AN ORGAN OF STATE :  PROMOTION OF INVESTMENT AND TRADE : WESTERN CAPE DESTINATION MARKETING : INVESTMENT AND TRADE PROMOTION AGENCY (WESGRO),"Western Cape Destination Marketing, Investment and Trade
Promotion Agency (Wesgro)",2014/07/28,8000000,"Economic, Environment and Spatial Planning","Eco, Env & Spatial Planning"
13,SCMB 28/07/14,SCMB 28/07/14,"REQUEST FOR DEVIATION AND/OR CONDONATION: INSURANCE CLAIM 7086394 : FIRE / VANDAL DAMAGE TO COUNCIL PROPERTY : 16 HOUWHOEK STREET, TAFELSIG","Mitchell’s Plain Electrical, Plumbing & Building Services CC ",2014/07/14,256548.24,Finance,Finance
24,281C/2013/14,SCMB 50/07/14,"PROVISION OF A SERVICE PROVIDER TO PROVIDE AN ELECTRONIC FUNCTION FOR TRACING, ADVERSE CREDIT LISTING AND OTHER RELATED SERVICES FOR THE CITY OF CAPE TOWN",Transunion Credit Bureau (Pty) Ltd,2014/07/28,2000000,Finance,Finance
2,197G/2013/14,SCMB 08/07/14,SUPPLY AND DELIVERY OF PETROL AND DIESEL TO THE CITY OF CAPE TOWN`S DEPOTS,Wasaa Gasses (Pty) Ltd ,2014/07/07,66000000,Finance,Finance
224,048C/2014/15,SCMB 75/12/14,"Provision of Professional Services in Respect of Planning, Design and Construction  Monitoring of the Restoration of the Granary Building in Buitekant Street, Cape Town ",Royal Haskoning dhv (Pty) Ltd,2014/12/19,4638370,Finance Services - Property Management,Finance
175,027C/2011/12,SCMB 17/12/14,PROVISION OF PROFESSIONAL SERVICES: IN THE APPOINTMENT OF A LEGAL PANEL FOR THE PROVISION OF LEGAL SERVICES FOR THE COLLECTION OF DEBTS OWED TO THE CITY OF CAPE TOWN,"Ngculu and Associates t/a Ngculu;                                                                                                                                   Lontilotse Alph-are Ramaswiele t/a Tolken Hendrikse Ramasiela;                                                                    Fairbridge Arderne and Lawton Inc t/a Fairbridges Attorneys;                             C & A Friedlander Incorporated;                                                                   Van Niekerk Groenewoud & Van Zyl Mohohlo Incorporated;                                                                                                 Malan Laas Dudeni Incorporated;                                                                                                                      Marais Muller Yekiso Inc. t/a Marais Mulelr Yekiso Inc. Cape Town;                        Rowan and Pullen Inc. t/a Rowan and Pullen;                                                                    Du Plessis & Hofmeyr Inc.;                                                                                   Kevin Kiewietz t/a Abrahams Kiewietz Attorneys;                                       Mahomeds t/a Mahomeds Inc.;                                                                                  Nimble Collection Service (Pty) Ltd;                                                           Matthysen Van Vuuren Inc.;                                                                                               Miller, Bosman, Le Rouw, Hill Inc.;                                                                         AA Parker t/a Parker & Associate Attorneys;                                                                    Mbeko Venfolo;                                                                                               Karel Brink Prokureur t/a Karel Brink & Genoot;                                                  Botha Pretorius                                                                                                                                                                                                                                                  ",2014/12/01,404299.46,Finance Services - Revenue,Finance
50,330S/2013/14,SCMB/36/09/14,"Provision of a Motor Vehicle Registration scanning, microfilming, indexing and Storage Services.",Metrofile (Pty0 Ltd,2014/09/15,2631578.95,Finance Services - Revenue,Finance
15,SCMB 41/08/14,SCMB 41/08/14,Appointment of Cape Town International Convention Centre Company (CONVECO) as an independent contractor to design and construct a basement parking facility and shared access tunnel for the Citys proposed convention tower block commercial development,Cape Town International Convention Centre (Convenco),2014/08/18,106000000,Finance Services - Revenue,Finance
209,SCMB 56/12/14,SCMB 56/12/14,Mayoral Gala Function at the IMFO 85th Annual Conference,Institute of Finance Officers (IMFO),2014/12/08,550000,Finance Services - Shareholders Management Unit,Finance
189,473G/2010/11,SCMB 36/12/14,"Supply of Oxygen, Acetylene and Liquid Petroleium Gas for the City of Cape Town",African Oxygen Limited t/a Afrox,2014/12/08,200000,Finance Services - Supply Chain Management,Finance
187,325G/2011/12,SCMB 34/12/14,Supply and Delivery of Toilet Paper and Paper Towels,"Zain Aberdeen Trading CC
Silver Solutions 1140 CC t/a Cape Hygiene Solutions
Green Tissue Pty Ltd
Fsiz Investments CC",2014/12/08,2763000,Finance Services - Supply Chain Management,Finance
1,262G/2013/14,SCMB 10/08/14,Supply and Delivery of Diesel Powered Forklift Trucks with a 16000kg lifting capacity and electric/battery forklift trucks with a 2000kg lifting capacity,Goscor Lift Truck Company (Pty) Ltd                                                                                                                                           ,2014/08/04,5000000,Finance Services - Supply Chain Management,Finance
34,SCMB 71/08/14,SCMB 71/08/14,Motor Claim M7080054-Extensive Damage to Man Refuse Compactor - Coastal Park Landfill Site,Associated Automotive Distributors (Pty) Ltd t/a AAD Truck and Bus /ADD Coachworks / Man Truck and Bus Centre PE ND Bus Centre PE,2014/08/25,313840.12,Finance Services - Treasury,Finance
33,SCMB 70/08/14,SCMB 70/08/14,Motor Claim M7087628-Extensive Damage to Nissan UD90 Compactor - Athlone Transfer Station,Associated Automotive Distributors (Pty) Ltd t/a AAD Truck and Bus /ADD Coachworks / Man Truck and Bus Centre PE ND Bus Centre PE,2014/08/25,378229.3,Finance Services - Treasury,Finance
122,022C/2014/15,SCMB 06/11/14,Provision of Service Provider:Appointment of assessors and loss adjusters for insurance claims for fixed property and contents,"RJ Assessing Service CC
Inyameko Trading 252 CC",2014/11/03,1080000,Finance Services - Treasury,Finance
6,SCMB 16/08/14,SCMB 16/08/14,Request for Deviation and/or Condonation: Operational function of the laboratory services within the city health directorate,BioMerieux SA (Pty) Ltd,2014/08/04,300000,Health - Health Services,Health
205,347S/2010/11,SCMB 52/12/14,Clearing And Removal Of Illegal Dumping And Nuisances On Overgrown Properties,"WB Braaf t/a Braaf's Lawnmowing and General Maintenance Services
TB Booysen t/a Themba Construction
Bur Maintenance CC
Need Compost CC t/a Garden and Organics",2014/12/08,1650984.34,Health - Health Services,Health
22,326S/2013/14,SCMB 48/08/14,Conducting of Pauper  / Destitute Burials or Cremations,AVBOB Funeral Service Limited,2014/08/18,2000000,Health - Health Services,Health
20,SCMB 39/07/14,SCMB 39/07/14,REQUEST FOR INCREASE IN CONTRACT SUM AND/OR PERIOD: PROFESSIONAL QUANTITY SURVEYING SERVICES FOR THE MUIZENBERG TRAFFIC BUILDING REFURBISHMENT,Akha Izwe Quantity Surveyors for Quantity Surveying Services,2014/07/21,0,Human Settlement,Human Settlements
11,351Q/2012/13,SCMB 26/07/14,REQUEST FOR DEVIATION AND/OR CONDONATION: APPOINTMENT OF HEALTH AND SAFETY CONSULTANCY AT THE MUIZENBERG TRAFFIC DEPLOYMENT CENTRE,Siyakhatala Safety CC ,2014/07/14,18049,Human Settlements,Human Settlements
10,SCMB 25/07/14,SCMB 25/07/14,REQUEST FOR INCREASE IN CONTRACT SUM AND/OR PERIOD: PROVISION OF PROFESSIONAL TOWN PLANNING SERVICES FOR BELHAR-PENTECH BNG HOUSING PROJECT (ERF 28981),NuPlan Africa ,2014/07/14,147100.83,Human Settlements,Human Settlements
57,SCMB/48/09/14,SCMB/48/09/14,"Quantity Surveyor and Principal agent: Hard and soft landscaping of Luvuyo Clinic, Hlela Road Khayelitsha - R031300529",Miradi Architects CC,2014/09/15,74900,Human Settlements - Development and Delivery,Human Settlements
119,SCMB 66/10/14,SCMB 66/10/14,"Provision of Professional Services: Electrical Engineer: Electrical works for the St. Vincent Clinic extensions of Reception, new Paediatrics and TB area, Corner Belhar and ST. Vincent Drive Belhar - R031200828 ",ACE Roadworks Designs CC t/a ACE Consulting,2014/10/27,79701.1,Human Settlements - Development and Delivery,Human Settlements
